TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,555625732,555625732,1,Southeast Bahamas Marine Managed Area,Southeast Bahamas Marine Managed Area,Marine Managed Area,Marine Managed Area,National,Not Reported,Not Applicable,2,0,24449.6062496481,24527.7384265,24458.6063200754,Not Reported,0,Designated,2015,Not Reported,State,Not Yet Designated,Not Reported,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,12798,12798,1,Jennifer Bay - Deep Well Marine Park,Jennifer Bay - Deep Well (Cayman Brac),Marine Park,Marine Park,National,II,Not Applicable,1,0.705957708262,0.458625808133545,0.705957708262,0.709903432985914,All,0.705957708262,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,555624810,555624810_E,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - Special Research Zone,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,109563,109516.228145748,109563,109516.228655238,All,109563,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,12787,12787,1,West Bay Bight Marine Park,North West Point - West Bay Cemetery (Grand Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,1.66441666577,1.44565201163443,1.66441666577,1.67439451268521,All,1.66441666577,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,555625730,555625730,1,Cay Sal Marine Managed Area,Cay Sal Marine Managed Area,Marine Managed Area,Marine Managed Area,National,Not Reported,Not Applicable,2,0,16839.7748074005,16771.5017051,16854.6226514684,Not Reported,0,Designated,2015,Not Reported,State,Not Yet Designated,Not Reported,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,478191,478191,1,South Orkney Islands Southern Shelf Marine Protected Area,South Orkney Islands Southern Shelf Marine Protected Area,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,93818.88,93274.160640986,93818.88,93274.160640986,All,93818.88,Designated,2010,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),Not Reported,Not Reported,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,555624810,555624810_A,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - General Protection Zone (i),Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,1,1555851,973704.663970899,1555851,1521512.67446816,All,1555851,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,555624810,555624810_B,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - General Protection Zone (ii),Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,74765,74472.7695629674,74765,74472.7695629674,All,74765,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,555624810,555624810_C,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - General Protection Zone (iii),Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,21098,22643.580701401,21098,22644.9948320589,All,21098,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,555624810,555624810_D,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - Krill Research Zone,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,328750,326507.190744376,328750,331890.979683477,All,328750,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,555599908,555599908,1,Karaburun-Sazan Marine National Park,Karaburun-Sazan Marine National Park,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,124.28,114.476324671275,125.27,124.352582953408,Not Reported,0,Adopted,2016,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1675,Not Reported,ALB,ALB,Not Applicable,Not Applicable
Polygon,555587053,555587053,1,Swatch of no ground Marine Protected Area,Swatch of no ground Marine Protected Area,Marine Park,Marine Park,National,Not Reported,Not Applicable,2,1738,1728.23163959971,1738,1728.23163624119,Not Reported,0,Designated,2014,Not Reported,Not Reported,Forest Department,Not Reported,State Verified,1797,Not Reported,BGD,BGD,Not Applicable,Not Applicable
Polygon,555587044,555587044,1,Marine Reserve,Marine Reserve,Marine Reserve,Marine Reserve,National,Not Reported,Not Applicable,2,698,1636.03047516326,698,1635.83228755162,Not Reported,0,Designated,2000,Not Reported,Not Reported,Fisheries Department,Not Reported,State Verified,1797,Not Reported,BGD,BGD,Not Applicable,Not Applicable
Polygon,555592584,555592584,1,South Berry Islands Marine Reserve,South Berry Islands Marine Reserve,Marine Reserve,Marine Reserve,National,Not Reported,Not Applicable,2,254.96908698,203.053420557282,207.583400552,208.085276687155,Part,0,Designated,2008,Not Reported,Not Reported,Department of Marine Resources,http://cep.unep.org/caribbeanmpa/south-berry-island-marine-reserve,State Verified,1859,BH-BY,BHS,BHS,Not Applicable,Not Applicable
Polygon,555592586,555592586,1,Jewfish Cay Marine Reserve,Jewfish Cay Marine Reserve,Marine Reserve,Marine Reserve,National,Not Reported,Not Applicable,2,0,121.19864933429,126.264523989,126.550184070649,All,126.550182746,Designated,2009,Not Reported,Not Reported,Department of Marine Resources,http://cep.unep.org/caribbeanmpa/mpa/Exuma_Cays_Land_and_Sea_Park/?searchterm=exuma,State Verified,1859,BS-EX,BHS,BHS,Not Applicable,Not Applicable
Polygon,555592587,555592587,1,Crab Cay Marine Reserve,Crab Cay Marine Reserve,Fishery Reserve,Fishery Reserve,National,Not Reported,Not Applicable,1,4.34697896599,3.03691012414433,3.45525855506,3.46291671919157,All,3.46291669543,Designated,2010,Not Reported,Not Reported,Department of Marine Resources,Not Reported,State Verified,1859,BS-CO,BHS,BHS,Not Applicable,Not Applicable
Polygon,555592841,555592841,1,No Name Cay Marine Reserve,No Name Cay Marine Reserve,Fishery Reserve,Fishery Reserve,National,Not Reported,Not Applicable,1,4.90680924504,3.31058979504191,3.90414888964,3.91289868088677,Not Reported,0,Designated,2010,Not Reported,Not Reported,Department of Marine Resources,Not Reported,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,555592582,555592582,1,Andros Northern Marine Park,Andros Northern Marine Park,National Park,National Park,National,II,Not Applicable,2,0,16.7129176351279,16.6772838367,16.7129176351279,Not Reported,0,Designated,2002,Government-delegated management,State,Bahamas National Trust,http://www.bnt.bs//_m1731/The-National-Parks-of-The-Bahamas/North-and-South-Marine-Parks,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,555592583,555592583,1,Andros Southern Marine Park,Andros Southern Marine Park,National Park,National Park,National,II,Not Applicable,2,0,11.6552955944069,11.7151305774,11.7411000036442,Not Reported,0,Designated,2002,Government-delegated management,State,Bahamas National Trust,http://www.bnt.bs//_m1731/The-National-Parks-of-The-Bahamas/North-and-South-Marine-Parks,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,61791,61791,1,Green Cay Marine Park,Green Cay Marine Park,Marine Park,Marine Park,National,Not Reported,Not Applicable,1,0,8.26193875750653,10.9351161765,10.9596416728168,Not Reported,0,Designated,2015,Not Reported,State,Not Yet Designated,Not Reported,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,555625723,555625723,1,Southwest New Providence Marine Managed Area,Southwest New Providence Marine Managed Area,Marine Managed Area,Marine Managed Area,National,Not Reported,Not Applicable,2,0,70.9789766291269,73.8395555293,74.006050464213,Not Reported,0,Designated,2015,Not Reported,State,Not Yet Designated,Not Reported,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,12799,12799,1,Bloody Bay Marine Park,Bloody Bay - Jackson Point (Little Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,2.04313969389,1.18495278973813,2.04313969389,2.0549049892547,All,2.04313969389,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,303905,303905,1,George Town Marine Park,Old Pageant Beach - Sand Cay Apartments (Grand Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,2.47119341992,1.88437283089803,2.47119341992,2.48603882984838,All,2.47119341992,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,12797,12797,1,Dick Sessingers Bay - Beach Point Marine Park,Dick Sessingers Bay - Beach Point (Cayman Brac),Marine Park,Marine Park,National,II,Not Applicable,2,2.18023739014,2.06549759085818,2.18023739014,2.19253501162361,All,2.18023739014,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,12800,12800,1,Preston Bay Marine Park,Preston Bay - Main Channel MP (Little Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,1.01424665658,0.819666574152732,1.01424665658,1.02009932272164,All,1.01424665658,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,12789,12789,1,Rum Point Marine Park,Bowse Bluff - Rum Point (Grand Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,0.477635422862,0.413988599227152,0.477635422862,0.480509993961466,All,0.477635422862,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,12788,12788,1,Seven Mile Beach Marine Park,Victoria House- Treasure Island Resort (Grand Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,5.36139248844,4.83884943679179,5.36139248844,5.39356961817773,All,5.36139248844,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,12786,12786,1,Spanish Bay Marine Park,Spanish Cove Resort - Jetty (Grand Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,0.116113106771,0.0888603772503262,0.116113106771,0.116808526504842,All,0.116113106771,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,12796,12796,1,White Bay Marine Park,Scotts Anchorage - White Bay (Cayman Brac),Marine Park,Marine Park,National,II,Not Applicable,1,0.380366581734,0.159547101052986,0.380366581734,0.382515127118244,All,0.380366581734,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,315574,315574,1,Ulunikoro Marine Reserve/Narikoso Village/Vabea Village,Vanua Ono,Locally Managed Marine Area,Locally Managed Marine Area,National,VI,Not Applicable,2,272.96,261.464354715534,272.96,273.259840453929,Part,19.22,Designated,1985,Indigenous peoples,Not Reported,Kadavu Yaubula Management Support Team/Committee,Not Reported,State Verified,1865,FJ-E,FJI,FJI,Not Applicable,Not Applicable
Polygon,365015,365015,1,Pelagos Sanctuary For The Conservation Of Marine Mammals,Pelagos Sanctuary For The Conservation Of Marine Mammals,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,87500,87516.4066111062,87500,87713.9287775806,Not Reported,0,Adopted,2001,Collaborative governance,Not Reported,Not Reported,Not Reported,State Verified,1675,Not Reported,"FRA;ITA;MCO","FRA;ITA;MCO",Not Applicable,Not Applicable
Polygon,555557120,555557120,1,Pembrokeshire Marine / Sir Benfro Forol,Pembrokeshire Marine / Sir Benfro Forol,Marine Protected Area (OSPAR),Marine Protected Area (OSPAR),Regional,Not Reported,Not Applicable,2,1371,1334.84575692435,0,1368.39142494347,Not Reported,0,Designated,2005,Collaborative governance,Not Reported,OSPAR Commission,http://mpa.ospar.org/home_ospar/mpa_datasheets,State Verified,883,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,103548,103548,1,Grand Cul-de-Sac Marin de la Guadeloupe,Grand Cul-de-Sac Marin de la Guadeloupe,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i)(ii)(iii)(iv)(vii)(viii),1,120,182.565510764322,295,211.199867999894,Not Reported,0,Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is not implented but is available,State Verified,1856,Not Reported,FRA,GLP,Not Applicable,Not Applicable
Polygon,555512151,555512151,1,British Indian Ocean Territory Marine Protected Area (Chagos),British Indian Ocean Territory Marine Protected Area (Chagos),Marine Protected Area,Marine Protected Area,National,Not Reported,Not Applicable,2,640000,642270.585093406,640000,642339.537933876,All,640000,Designated,2010,Not Reported,Not Reported,UK British Indian Ocean Territory (BIOT) Administration,Not Reported,State Verified,1678,Not Reported,GBR,IOT,Not Applicable,Not Applicable
Polygon,555571486,555571486,1,Aomori Prefectural Marine Zone Fisheries Coordination Regulations Article35 (ii) of the table,青森県海面漁業調整規則第35条表第2号,保護水面,Protected Water Surface,National,IV,Not Applicable,2,0.41,0.405598006301637,0.41,0.405932760710139,All,0.41,Designated,1954,Sub-national ministry or agency,Not Reported,Aomori Prefecture,Not Reported,State Verified,1883,JP-02,JPN,JPN,Not Applicable,Not Applicable
Polygon,555571474,555571474,1,Okayama Prefectural Marine Zone Fisheries Coordination Regulations Article34-2(iii),岡山県海面漁業調整規則第34条の2 第3号,保護水面,Protected Water Surface,National,IV,Not Applicable,1,0.43,0.131094802909503,0.43,0.220813995557335,All,0.26,Designated,1982,Sub-national ministry or agency,Not Reported,Okayama Prefecture,Not Reported,State Verified,1883,JP-33,JPN,JPN,Not Applicable,Not Applicable
Polygon,555571485,555571485,1,Aomori Prefectural Marine Zone Fisheries Coordination Regulations Article35 (iii) of the table,青森県海面漁業調整規則第35条表第3号,保護水面,Protected Water Surface,National,IV,Not Applicable,2,0.41,0.399189058755003,0.41,0.407759558558913,All,0.41,Designated,1954,Sub-national ministry or agency,Not Reported,Aomori Prefecture,Not Reported,State Verified,1883,JP-02,JPN,JPN,Not Applicable,Not Applicable
Polygon,555571487,555571487,1,Aomori Prefectural Marine Zone Fisheries Coordination Regulations Article35 (iV) of the table,青森県海面漁業調整規則第35条表第4号,保護水面,Protected Water Surface,National,IV,Not Applicable,2,0.16,0.159282133041011,0.16,0.160264490708317,All,0.16,Designated,1983,Sub-national ministry or agency,Not Reported,Aomori Prefecture,Not Reported,State Verified,1883,JP-02,JPN,JPN,Not Applicable,Not Applicable
Polygon,555571480,555571480,1,Ibaraki Prefectural Marine Zone Fisheries Coordination Regulations Article42 (iii) of the table,茨城県海面漁業調整規則第42条第3号,保護水面,Protected Water Surface,National,IV,Not Applicable,2,1.16,1.15966227424123,1.16,1.15966227531218,All,1.4,Designated,1978,Sub-national ministry or agency,Not Reported,Ibaraki Prefecture,Not Reported,State Verified,1883,JP-08,JPN,JPN,Not Applicable,Not Applicable
Polygon,555571481,555571481,1,Ibaraki Prefectural Marine Zone Fisheries Coordination Regulations Article42 (ii) of the table,茨城県海面漁業調整規則第42条第2号,保護水面,Protected Water Surface,National,IV,Not Applicable,1,1.29,1.09096550739583,1.29,1.29127180634212,All,1.4,Designated,1977,Sub-national ministry or agency,Not Reported,Ibaraki Prefecture,Not Reported,State Verified,1883,JP-08,JPN,JPN,Not Applicable,Not Applicable
Polygon,555571482,555571482,1,Ibaraki Prefectural Marine Zone Fisheries Coordination Regulations Article42 (i) of the table,茨城県海面漁業調整規則第42条第1号,保護水面,Protected Water Surface,National,IV,Not Applicable,1,1.42,1.23403475596165,1.42,1.42457355248426,All,1.4,Designated,1976,Sub-national ministry or agency,Not Reported,Ibaraki Prefecture,Not Reported,State Verified,1883,JP-08,JPN,JPN,Not Applicable,Not Applicable
Polygon,555571475,555571475,1,Okayama Prefectural Marine Zone Fisheries Coordination Regulations Article34-2(i),岡山県海面漁業調整規則第34条の2 第1号　,保護水面,Protected Water Surface,National,IV,Not Applicable,1,0.74,0.653019589110404,0.74,0.975286541396395,All,1,Designated,1983,Sub-national ministry or agency,Not Reported,Okayama Prefecture,Not Reported,State Verified,1883,JP-33,JPN,JPN,Not Applicable,Not Applicable
Polygon,555571473,555571473,1,Okayama Prefectural Marine Zone Fisheries Coordination Regulations Article34-2(ii),岡山県海面漁業調整規則第34条の2 第2号,保護水面,Protected Water Surface,National,IV,Not Applicable,1,0.61,0.496576180814857,0.61,0.628756006075433,All,0.61,Designated,1979,Sub-national ministry or agency,Not Reported,Okayama Prefecture,Not Reported,State Verified,1883,JP-33,JPN,JPN,Not Applicable,Not Applicable
Polygon,555571463,555571463,1,Ehime Prefectural Marine Zone Fisheries Coordination Regulations Article34-2,愛媛県漁業調整規則第34条の2,保護水面,Protected Water Surface,National,IV,Not Applicable,1,0.59,0.427518781500166,0.59,0.545713375554342,All,0.59,Designated,1973,Sub-national ministry or agency,Not Reported,Ehime Prefecture,Not Reported,State Verified,1883,JP-38,JPN,JPN,Not Applicable,Not Applicable
Polygon,555571484,555571484,1,Aomori Prefectural Marine Zone Fisheries Coordination Regulations Article35 (i) of the table,青森県海面漁業調整規則第35条表第1号,保護水面,Protected Water Surface,National,IV,Not Applicable,2,0.83,0.830128119184944,0.83,0.830128119184944,All,0.83,Designated,1954,Sub-national ministry or agency,Not Reported,Aomori Prefecture,Not Reported,State Verified,1883,JP-02,JPN,JPN,Not Applicable,Not Applicable
Polygon,3038,3038,1,Kiunga Marine Conservancy,Kiunga Marine Conservancy,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,1,0,168.748903901343,287,289.331406448341,Not Reported,0,Not Reported,2010,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555592998,555592998,1,"East Coast (incl. Fond D'Or, Grand Anse, Cas En Bas, Marquis, Esperance Harbour and Louvette Marine Reserves)","East Coast (incl. Fond D'Or, Grand Anse Marine Reserve, Cas En Bas, Marquis, Esperance Harbour and Louvette Marine Reserves)",National Park and Marine Management Area,National Park and Marine Management Area,National,V,Not Applicable,1,0,12.2943842944404,15.2450531452,14.3511198232669,Not Reported,0,Proposed,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,1867,Not Reported,LCA,LCA,Not Applicable,Not Applicable
Polygon,62936,62936,1,Bar Reef Marine,Bar Reef Marine,Sanctuary,Sanctuary,National,IV,Not Applicable,2,277.9,303.033907688219,306.699,303.033907688219,Not Reported,0,Designated,1992,Federal or national ministry or agency,Not Reported,Department of Wildlife Conservation,Not Reported,Not Reported,1854,Not Reported,LKA,LKA,Not Applicable,Not Applicable
Polygon,555543202,555543202,1,The state Baltic sea marine rezerve,The state Baltic sea marine rezerve,Baltic Sea Protected Area (HELCOM),Baltic Sea Protected Area (HELCOM),Regional,Not Reported,Not Applicable,2,140.27,139.790580535548,140.27,139.830925163676,Not Reported,0,Designated,2005,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,916,Not Reported,LTU,LTU,Not Applicable,Not Applicable
Polygon,145542,145542,1,Réserve sous-marine du Larvotto,Réserve sous-marine du Larvotto,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(ii)(iii)(vii),2,0,0.23279721057011,0.23,0.232797212348534,Not Reported,0,Designated,1997,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,Not Reported,MCO,MCO,Not Applicable,Not Applicable
Polygon,555512146,555512146,1,Namibian Islands Marine Protected Area,Namibian Islands Marine Protected Area,Marine Protected Area,Marine Protected Area,National,VI,Not Applicable,2,9497,9390.57525019508,9497,9541.9926053995,Not Reported,0,Designated,2009,Federal or national ministry or agency,Not Reported,Ministry of Fisheries and Marine Resources,Not Reported,State Verified,1821,Not Reported,NAM,NAM,Not Applicable,Not Applicable
Polygon,902479,902479,1,Coiba National Park and its Special Zone of Marine Protection,Parc national de Coiba et sa zone spéciale de protection marine,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix)(x),1,0,3768.83816845854,4308.25,4330.21223518575,Not Reported,0,Inscribed,2005,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,PA-9,PAN,PAN,Not Applicable,Not Applicable
Polygon,61786,61786,1,Jubail Marine Wildlife Sanctuary,محمية الجبيل للإحياء البحرية,محمية,Reserve,National,VI,Not Applicable,1,1401.5,1247.11410442409,2369.05,2382.50198609295,Not Reported,0,Proposed,0,For-profit organisations,Not Reported,Saudi Aramco,Not Reported,State Verified,1513,Not Reported,SAU,SAU,Not Applicable,Not Applicable
Polygon,555622045,555622045,1,Sanganeb Marine National Park and Dungonab Bay - Mukkawar Island Marine National Park,Parc national marin de Sanganeb et parc national marin de la baie de Dungonab - île de Mukkawar,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(vii)(ix)(x),1,0,2080.8183871019,2607,2594.48651050085,Not Reported,0,Inscribed,2016,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,946,Not Reported,SDN,SDN,Not Applicable,Not Applicable
Polygon,555624206,555624206,1,Man o War Shoal Marine Park,Man o War Shoal Marine Park,Specially Protected Area (Cartagena Convention),Specially Protected Area (Cartagena Convention),Regional,Not Reported,Not Applicable,2,31,16.7629054931329,31,16.7629054931329,Part,0,Designated,2010,Not Reported,Not Reported,St. Maarten Nature Foundation,http://www.spaw-palisting.org/area_public/show/id/8/template/C6,State Verified,1900,Not Reported,NLD,SXM,Not Applicable,Not Applicable
Polygon,18784,18784,1,North West Point Marine,North West Point Marine,National Park,National Park,National,Not Reported,Not Applicable,2,9.91,9.26664682141427,10.26,10.1630194633191,Not Reported,0,Designated,1987,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,302,Not Reported,GBR,TCA,Not Applicable,Not Applicable
Polygon,31294,31294,1,Princess Alexandra Marine National Park,Princess Alexandra Marine National Park,Nature Reserve,Nature Reserve,National,III,Not Applicable,1,0,0.39298107550312,1.82,2.47390567395329,Not Reported,0,Designated,1992,Not Reported,State,Not Reported,Not Reported,State Verified,302,Not Reported,GBR,TCA,Not Applicable,Not Applicable
Polygon,31295,31295,1,West Caicos Marine,West Caicos Marine,National Park,National Park,National,Not Reported,Not Applicable,1,3.8,3.19905760559816,3.97,3.81005780173249,Not Reported,0,Designated,1992,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,302,Not Reported,GBR,TCA,Not Applicable,Not Applicable
Polygon,36094,36094,1,Columbus Landfall Marine,Columbus Landfall Marine,National Park,National Park,National,IV,Not Applicable,1,4.72,3.47597606045926,5.18,5.01440410642187,Not Reported,0,Designated,1992,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,302,Not Reported,GBR,TCA,Not Applicable,Not Applicable
Polygon,26480,26480,1,Union-Palm Island,Union-Palm Island Marine Conservation Area,Marine Conservation Area,Marine Conservation Area,National,VI,Not Applicable,1,0,10.1423546042581,1359.59997559,13.0290909461088,Not Reported,0,Designated,1987,Federal or national ministry or agency,Not Reported,Fisheries Division,Not Reported,State Verified,1809,VC-06,VCT,VCT,Not Applicable,Not Applicable
Polygon,31466,31466,1,Bequia Marine,Bequia Marine Conservation Area,Marine Conservation Area / Wildlife Reserve,Marine Conservation Area / Wildlife Reserve,National,VI,Not Applicable,1,0,2.27253301911434,367.5,3.48852847491386,Not Reported,0,Designated,1987,Joint governance,Not Reported,Fisheries Division / Forestry Department,Not Reported,State Verified,1809,VC-06,VCT,VCT,Not Applicable,Not Applicable
Polygon,555576492,555576492,1,Canouan,Canouan Marine Reserve / Marine Conservation Area,Marine Reserve / Marine Conservation Area,Marine Reserve,National,IV,Not Applicable,1,0,8.53871798124878,1250.699951,11.9018706737125,Not Reported,0,Designated,0,Federal or national ministry or agency,Not Reported,Fisheries Divison,Not Reported,State Verified,1809,VC-06,VCT,VCT,Not Applicable,Not Applicable
Polygon,555576498,555576498,1,Mustique,Mustique Marine Reserve,Marine Reserve,Marine Reserve,National,IV,Not Applicable,1,0,5.19365634856101,652.846008301,6.98295843340776,Not Reported,0,Designated,0,Federal or national ministry or agency,Not Reported,Fisheries Division,Not Reported,State Verified,1809,VC-06,VCT,VCT,Not Applicable,Not Applicable
Polygon,555576505,555576505,1,South Coast,South Coast Marine Park,Marine Park,Marine Park,National,II,Not Applicable,1,0,1.052103992334,272.04800415,2.63116260600018,Not Reported,0,Proposed,0,Federal or national ministry or agency,Not Reported,Fisheries Divison,Not Reported,State Verified,1809,VC-04,VCT,VCT,Not Applicable,Not Applicable
Polygon,26475,26475,1,Isle Quatre,Isle Quatre Marine Reserve / Marine Conservation Area,Marine Reserve / Marine Conservation Area / Wildlife Reserve,Marine Reserve / Marine Conservation Area / Wildlife Reserve,National,IV,Not Applicable,1,0,2.13554876715053,332.299987793,3.15602587739165,Not Reported,0,Designated,1987,Federal or national ministry or agency,Not Reported,Fisheries Division,Not Reported,State Verified,1809,VC-06,VCT,VCT,Not Applicable,Not Applicable
Polygon,12837,12837,1,Dogs Marine Area,The Dogs,Landscape/Seascape,Landscape/Seascape,National,V,Not Applicable,2,0,10.189701047757,10.8726884443,10.8726884279322,None,0,Proposed,0,Not Reported,Not Reported,National Parks Trust of the Virgin Islands,Not Reported,State Verified,1907,Not Reported,GBR,VGB,Not Applicable,Not Applicable
Polygon,303032,303032,1,Hon Me (marine),Hòn Mê,Marine Protected Area,Marine Protected Area,National,Not Reported,Not Applicable,1,62,60.5697937622701,67,67.7564384283478,Not Reported,0,Designated,2002,Government-delegated management,Not Reported,Not Reported,Not Reported,State Verified,1874,Not Reported,VNM,VNM,Not Applicable,Not Applicable
Polygon,303082,303082,1,Cu Lao Cham (marine),Cu Lao Cham (marine),Marine Protected Area,Marine Protected Area,National,Not Reported,Not Applicable,1,51.07,52.5252524617939,51.75,65.6727650259784,Not Reported,0,Designated,2002,Government-delegated management,Not Reported,Not Reported,Not Reported,State Verified,1874,Not Reported,VNM,VNM,Not Applicable,Not Applicable
